gps_natural_travel,accelerometer_active,pressure_consistency,cell_tower_match,work_history_match,no_active_order,is_fraud
59.27,68.78,99.75,77.49,5.62,89.23,0
57.53,67.65,60.24,81.77,100.0,90.32,0
85.26,92.03,75.63,80.97,22.12,79.32,0
93.23,78.82,79.77,86.04,96.84,81.72,0
82.29,100.0,79.34,92.74,84.91,71.92,0
100.0,100.0,50.16,100.0,58.65,88.56,0
86.66,93.42,100.0,75.96,61.6,87.15,0
64.23,77.97,52.9,60.09,81.52,78.74,0
81.99,76.08,66.24,70.34,100.0,80.77,0
100.0,82.26,64.09,99.2,81.04,80.26,0
68.12,97.23,77.7,84.21,34.3,37.18,1
100.0,92.9,79.06,90.88,100.0,92.3,0
95.87,95.78,100.0,80.57,92.39,70.71,0
58.12,73.97,100.0,71.1,87.38,76.26,0
83.9,78.01,89.81,64.6,84.25,80.02,0
85.18,86.87,81.4,72.59,71.92,76.65,0
65.5,100.0,96.77,82.83,56.07,73.31,0
80.68,78.32,87.45,97.96,90.79,75.39,0
82.76,94.84,77.59,100.0,41.54,80.47,0
97.16,81.33,72.73,91.34,51.16,87.02,0
94.48,100.0,76.08,93.94,93.03,73.13,0
97.18,100.0,77.68,79.63,81.84,96.99,0
98.77,93.57,68.07,78.98,62.18,98.05,0
97.61,90.03,87.06,97.22,83.96,17.19,1
67.12,86.88,83.13,83.99,26.11,47.87,1
76.73,78.28,89.69,65.82,14.88,27.33,1
69.61,83.74,62.1,64.99,66.62,85.16,0
93.38,72.7,76.28,97.79,67.17,82.42,0
69.52,97.69,100.0,67.12,73.81,76.59,0
98.9,91.13,81.09,90.62,72.78,96.12,0
84.54,72.96,83.2,95.54,24.08,31.01,1
77.39,100.0,78.08,91.5,55.4,77.37,0
75.13,68.53,79.37,72.55,61.08,21.02,1
73.09,90.77,52.59,68.15,98.9,100.0,0
75.25,97.19,72.54,84.31,92.49,94.77,0
81.53,96.68,58.03,89.3,68.36,5.95,1
78.76,75.06,71.67,94.38,93.38,93.92,0
55.67,95.24,68.43,61.18,6.31,10.43,1
97.07,86.94,66.88,87.58,63.7,79.05,0
94.75,100.0,72.11,60.26,91.69,75.02,0
55.5,85.35,91.28,61.07,83.66,91.03,0
74.5,81.48,85.37,45.93,100.0,87.35,0
85.71,88.3,96.51,86.51,61.14,81.4,0
99.1,97.63,94.45,96.35,89.01,87.96,0
100.0,80.91,73.06,78.29,97.23,91.19,0
53.84,94.25,81.2,68.62,79.01,99.93,0
51.23,100.0,81.32,68.68,81.5,91.84,0
74.22,93.47,82.05,69.21,12.91,100.0,0
53.99,77.04,100.0,70.9,43.69,86.23,0
88.44,67.62,80.0,80.04,68.25,87.01,0
66.05,77.78,88.84,76.22,79.04,95.27,0
65.56,77.64,94.31,62.51,55.22,97.43,0
79.98,71.25,84.98,89.27,88.67,79.64,0
65.61,79.58,72.68,66.76,95.81,92.83,0
96.98,72.81,93.86,68.66,61.05,74.42,0
72.89,65.86,100.0,68.91,67.91,85.41,0
76.55,97.69,78.39,68.34,44.63,99.29,0
88.08,91.2,76.68,78.92,30.81,90.48,0
56.1,69.46,75.68,66.27,77.46,99.5,0
96.52,75.94,77.84,96.38,13.69,23.33,1
77.1,81.17,60.79,69.13,76.19,100.0,0
53.42,72.09,81.21,52.31,21.84,33.52,1
94.33,69.11,92.08,90.5,100.0,77.52,0
73.81,84.6,68.07,88.43,67.06,73.74,0
64.75,95.07,87.48,81.3,57.73,82.43,0
87.44,96.88,59.88,61.29,90.78,91.09,0
89.91,61.91,65.65,91.96,73.46,69.67,0
59.61,95.4,94.96,72.01,12.52,0.0,1
94.65,75.11,82.2,100.0,84.92,96.33,0
100.0,90.74,82.09,87.56,16.3,88.91,0
72.53,80.94,92.76,73.26,100.0,91.64,0
90.21,89.54,76.96,83.48,45.2,85.79,0
99.72,91.19,100.0,87.62,37.37,87.31,0
73.33,100.0,89.51,83.48,75.49,96.33,0
84.88,92.35,80.46,80.1,75.61,82.14,0
67.19,82.23,89.72,89.78,98.66,17.4,1
98.48,96.86,84.48,98.74,51.51,98.71,0
60.69,89.62,76.08,66.61,87.36,81.52,0
92.49,88.06,67.45,90.84,82.01,100.0,0
90.05,82.68,68.83,84.65,39.69,82.99,0
76.92,98.31,90.33,86.77,62.73,83.5,0
88.03,60.09,90.19,82.52,84.71,81.42,0
45.81,100.0,69.21,80.29,79.31,0.0,1
65.01,99.3,79.04,75.0,52.4,80.85,0
90.38,100.0,79.43,83.41,60.4,83.76,0
95.77,87.91,75.21,96.13,52.21,88.26,0
64.07,100.0,81.36,86.56,65.87,79.25,0
16.68,10.91,12.69,13.45,20.46,14.15,1
95.36,88.3,86.27,88.18,72.96,100.0,0
62.22,80.13,64.61,87.83,96.54,95.98,0
84.14,90.63,83.12,71.12,67.33,85.8,0
50.2,76.43,100.0,67.45,87.82,31.12,1
73.59,95.41,73.32,82.28,74.03,96.8,0
95.05,68.52,76.03,93.36,78.01,72.97,0
91.46,84.6,89.71,94.22,91.14,100.0,0
83.56,72.13,70.1,91.69,63.7,96.7,0
90.88,100.0,85.46,94.79,31.31,72.48,0
87.08,67.18,85.53,87.71,82.56,72.32,0
85.98,89.34,75.73,85.25,58.52,89.2,0
100.0,92.86,81.72,96.05,100.0,95.69,0
100.0,89.17,65.22,91.27,86.0,100.0,0
67.27,96.41,73.12,67.23,26.2,25.93,1
61.63,79.34,76.09,59.53,31.08,88.37,0
90.3,91.67,79.11,94.08,100.0,78.36,0
56.4,89.43,95.09,50.39,3.06,97.41,0
82.56,83.73,78.87,83.97,0.0,24.5,1
90.01,92.32,91.07,93.73,89.41,70.14,0
78.54,74.66,88.06,55.21,73.76,77.76,0
97.99,77.97,100.0,87.42,22.29,100.0,0
63.07,67.74,59.71,76.65,96.05,92.86,0
75.77,67.73,89.14,68.66,84.12,74.42,0
76.21,70.07,85.14,71.24,42.77,95.58,0
99.36,92.77,93.44,91.49,54.29,74.62,0
9.11,10.92,6.53,9.21,6.15,16.95,1
58.01,91.9,78.7,78.02,86.91,98.72,0
86.97,83.71,68.86,89.85,55.34,87.46,0
68.95,76.11,80.16,73.32,93.38,25.47,1
87.58,75.33,80.5,87.84,91.23,64.67,0
65.25,92.01,78.58,81.35,82.28,98.4,0
64.81,93.95,91.35,68.59,69.07,52.07,0
83.31,86.22,74.48,81.16,82.69,4.88,1
65.45,98.49,56.16,58.3,80.0,82.32,0
86.09,88.1,72.95,91.36,85.2,100.0,0
94.01,90.15,99.27,91.57,100.0,85.0,0
61.96,63.59,69.66,88.69,72.45,44.3,1
97.39,74.18,69.66,91.01,37.58,94.73,0
73.12,83.65,67.83,73.0,83.33,70.05,0
86.97,80.95,99.61,93.23,87.04,83.28,0
66.65,84.75,100.0,100.0,98.68,99.92,0
81.32,95.65,69.57,92.53,93.07,88.33,0
87.25,80.55,60.62,83.63,87.12,95.82,0
100.0,91.78,67.09,97.2,43.38,98.34,0
75.68,87.12,94.93,67.27,24.88,98.49,0
66.94,84.96,72.54,53.1,92.03,99.09,0
66.52,90.68,84.68,82.18,75.08,96.01,0
100.0,67.41,84.21,79.11,58.7,91.83,0
60.04,100.0,99.46,76.67,29.17,38.87,1
68.92,91.05,100.0,81.62,78.52,96.88,0
71.71,100.0,90.67,78.51,54.84,98.08,0
68.51,76.41,77.28,72.49,14.69,13.84,1
77.66,74.36,80.4,64.95,83.23,88.76,0
77.45,99.54,71.1,77.33,68.1,97.88,0
99.67,75.8,77.48,93.42,85.69,8.21,1
83.09,54.91,64.42,78.23,49.06,82.76,0
86.47,73.31,67.88,66.41,70.96,27.22,1
78.71,78.75,63.63,76.31,89.89,96.44,0
82.64,86.18,85.8,90.19,97.63,82.2,0
81.04,84.13,83.53,85.99,77.43,86.64,0
66.5,91.86,68.82,71.99,12.12,24.66,1
70.88,87.41,72.48,78.39,51.53,92.09,0
73.78,57.1,98.46,67.22,87.21,84.11,0
61.7,89.25,89.25,70.01,7.76,0.0,1
79.16,100.0,86.11,84.0,77.62,65.59,0
84.44,93.11,64.81,69.63,100.0,100.0,0
79.37,77.96,78.51,82.05,93.66,100.0,0
60.57,74.46,89.62,61.52,80.91,19.39,1
97.19,88.87,98.47,74.29,100.0,92.64,0
91.62,56.49,84.56,78.33,85.11,88.99,0
97.06,78.99,74.85,88.17,36.29,23.39,1
85.73,92.03,84.06,83.89,98.46,98.02,0
71.35,75.89,67.7,64.61,67.8,73.32,0
66.8,84.12,68.66,77.16,87.22,100.0,0
94.62,85.54,85.92,81.31,24.12,34.11,1
92.2,100.0,58.73,79.74,73.64,92.76,0
81.12,85.69,93.27,63.07,67.61,79.43,0
85.52,87.36,87.66,67.38,94.24,63.57,0
66.93,100.0,92.28,78.11,24.84,27.1,1
60.72,85.04,71.03,76.98,72.61,83.55,0
87.52,91.89,66.43,83.87,47.89,99.11,0
87.55,93.66,100.0,81.74,63.42,88.35,0
88.41,64.49,70.59,79.19,76.18,99.22,0
78.25,99.27,83.88,80.54,100.0,89.76,0
95.81,76.45,90.97,94.85,90.22,98.98,0
74.12,78.61,84.17,78.26,100.0,93.91,0
71.34,100.0,75.35,77.41,90.7,31.21,1
90.9,77.58,72.79,95.67,42.08,36.54,1
61.88,65.21,73.22,83.39,96.54,68.61,0
84.2,87.31,100.0,90.1,18.16,6.64,1
100.0,100.0,74.87,85.71,85.29,97.36,0
68.2,88.74,98.25,47.51,95.61,22.37,1
86.49,97.2,86.61,87.38,45.27,66.27,0
86.78,96.59,86.04,86.54,7.14,19.33,1
62.74,97.55,81.44,58.65,76.32,100.0,0
100.0,73.31,96.62,77.26,94.95,67.47,0
81.88,81.97,96.31,87.55,71.32,88.22,0
92.97,85.34,77.02,79.41,19.03,33.63,1
72.66,86.83,68.35,72.01,73.23,92.03,0
51.58,90.23,80.09,57.89,23.25,94.0,0
79.84,95.33,90.28,67.72,78.82,94.66,0
93.3,66.41,61.49,95.99,51.77,89.89,0
83.39,85.99,77.74,72.02,94.62,71.86,0
77.45,89.63,81.53,63.44,100.0,79.6,0
65.53,82.79,84.71,70.25,11.69,76.56,0
72.81,100.0,72.51,81.43,68.29,68.46,0
91.74,87.25,69.7,93.95,66.25,73.55,0
90.41,85.57,73.67,86.66,64.08,85.78,0
76.14,96.19,69.52,71.09,38.67,90.02,0
78.32,90.55,89.18,77.12,77.37,97.82,0
95.84,90.54,95.07,77.92,94.48,100.0,0
67.2,80.1,87.74,78.5,33.37,87.41,0
70.53,85.97,93.3,76.61,93.36,90.45,0
63.43,83.93,79.45,47.07,34.0,100.0,0
82.92,66.76,81.9,71.2,5.32,2.13,1
88.4,79.89,69.69,69.8,56.34,93.7,0
85.85,89.66,92.68,93.01,26.37,85.23,0
78.64,100.0,61.38,74.2,88.67,41.02,1
76.54,100.0,100.0,62.96,3.69,70.14,0
81.66,76.78,82.55,88.21,100.0,34.97,1
94.61,77.68,59.86,79.0,84.41,84.35,0
65.84,76.09,85.09,66.51,72.55,70.04,0
78.84,95.46,100.0,92.09,30.39,96.32,0
60.55,100.0,88.42,49.87,78.19,93.6,0
72.65,77.93,89.76,79.04,64.29,100.0,0
78.24,79.76,97.3,71.31,78.9,91.32,0
64.43,76.48,93.59,82.38,84.37,73.09,0
68.33,87.23,87.29,75.02,77.95,62.87,0
75.72,70.95,100.0,90.48,79.5,89.18,0
73.08,69.5,84.39,66.27,36.84,100.0,0
72.28,82.69,97.7,62.23,67.37,76.73,0
100.0,80.18,57.0,88.28,26.27,38.32,1
60.43,87.1,100.0,99.55,16.06,18.59,1
59.08,91.82,79.0,73.86,94.27,6.9,1
67.99,81.13,77.77,76.89,82.96,87.53,0
85.49,81.54,87.79,79.63,92.71,89.27,0
81.62,81.9,64.28,70.02,70.9,96.14,0
100.0,78.8,67.18,94.95,79.36,80.28,0
85.27,92.5,88.57,91.09,11.38,84.77,0
60.21,100.0,97.09,71.29,77.61,100.0,0
99.71,66.63,100.0,96.14,83.85,90.21,0
74.43,72.68,94.78,75.88,45.87,8.95,1
86.37,75.08,55.2,66.63,94.06,79.41,0
77.68,79.56,73.99,74.71,12.49,93.13,0
90.88,99.7,64.1,91.71,66.6,85.57,0
98.85,100.0,83.73,91.31,58.5,91.58,0
76.12,71.28,89.18,78.14,33.5,69.76,0
100.0,100.0,83.99,84.11,85.29,87.08,0
67.99,85.5,90.36,65.89,72.26,78.73,0
65.21,74.9,88.63,73.64,78.08,76.01,0
79.88,79.49,91.11,72.31,87.89,75.17,0
91.52,80.98,63.04,94.68,94.57,60.7,0
90.7,82.31,89.76,88.49,81.14,89.55,0
85.89,73.5,63.41,93.49,33.47,75.86,0
92.82,100.0,73.47,67.46,89.33,67.66,0
86.91,79.17,51.37,100.0,74.06,99.07,0
95.32,100.0,97.74,97.62,90.42,89.42,0
69.2,75.51,100.0,67.26,88.12,97.81,0
82.56,78.85,100.0,60.74,57.0,74.68,0
53.22,70.96,71.38,65.85,1.88,94.64,0
83.23,86.46,73.88,68.33,92.03,37.85,1
88.34,71.23,60.1,88.17,96.49,91.43,0
86.45,99.32,96.45,84.01,21.17,100.0,0
62.65,76.8,94.75,83.08,88.51,95.53,0
75.22,75.96,77.23,75.75,72.8,69.32,0
90.68,88.74,64.79,92.28,73.09,85.96,0
6.89,1.38,9.62,8.91,7.32,12.92,1
98.78,99.76,99.99,94.42,52.74,27.67,1
83.13,85.53,100.0,67.39,93.31,100.0,0
84.67,100.0,95.46,100.0,81.21,76.74,0
92.94,88.03,80.14,88.85,27.21,89.59,0
89.84,96.04,76.73,87.65,87.63,70.32,0
50.77,87.67,94.03,78.67,11.13,85.0,0
67.93,91.05,89.27,82.78,82.74,74.68,0
82.3,95.63,80.14,88.82,57.11,84.05,0
74.64,98.0,81.22,75.39,90.6,100.0,0
65.39,76.58,88.12,66.14,15.21,90.11,0
79.08,77.72,80.81,74.6,78.53,0.0,1
88.68,81.3,87.22,79.41,66.1,41.5,1
85.76,71.69,75.36,72.12,88.31,95.68,0
100.0,69.97,89.88,99.46,65.62,31.88,1
71.0,75.21,87.26,71.95,78.72,87.48,0
90.28,76.76,90.43,77.06,97.94,100.0,0
80.54,67.76,65.16,89.86,14.59,93.49,0
17.41,10.33,8.83,9.52,5.89,13.38,1
100.0,69.79,74.6,85.74,54.33,92.57,0
95.69,64.98,65.0,83.31,68.58,1.45,1
84.06,90.87,74.94,71.13,86.51,90.09,0
83.73,72.3,81.48,75.93,54.23,79.83,0
87.34,100.0,92.18,82.41,63.46,88.73,0
68.47,100.0,58.62,67.71,82.57,82.47,0
62.54,88.92,81.62,66.86,35.75,84.08,0
86.31,90.28,95.1,78.94,49.85,96.5,0
89.63,83.5,87.58,70.28,75.21,98.63,0
70.29,90.9,95.4,72.52,99.37,76.31,0
73.3,94.28,100.0,87.53,88.27,96.66,0
84.31,82.81,61.88,89.81,85.24,87.7,0
89.86,87.48,94.09,82.92,62.33,89.32,0
69.65,90.14,85.51,83.49,88.87,79.62,0
91.66,72.25,96.64,70.49,100.0,82.33,0
81.82,100.0,100.0,81.48,93.92,82.2,0
71.69,90.96,89.29,70.23,66.74,92.0,0
80.74,95.89,71.19,68.75,52.66,0.84,1
100.0,81.32,72.56,86.22,61.62,94.02,0
71.17,89.18,81.48,59.96,70.29,82.79,0
85.31,66.28,62.52,93.61,59.64,97.52,0
72.48,99.52,77.81,80.43,74.99,100.0,0
87.38,84.58,76.33,89.53,72.88,100.0,0
77.63,76.17,85.11,60.95,47.58,100.0,0
67.55,100.0,91.04,83.73,68.58,86.8,0
67.77,80.38,73.69,77.47,80.17,100.0,0
63.24,91.72,95.12,71.06,79.54,77.94,0
96.8,97.53,96.99,92.44,40.26,92.56,0
85.29,82.5,94.89,96.71,79.22,80.66,0
52.29,72.05,93.54,63.21,92.37,67.13,0
88.92,84.62,75.86,88.53,85.27,87.37,0
63.41,68.61,92.54,74.5,11.75,40.75,1
76.09,82.36,99.52,74.9,88.26,90.54,0
89.45,73.71,93.75,68.12,85.89,100.0,0
74.49,84.14,90.81,71.9,94.35,85.12,0
69.56,90.23,62.93,86.85,30.16,68.53,0
71.55,100.0,75.99,64.49,6.49,78.41,0
72.99,91.83,68.58,68.83,61.22,100.0,0
95.7,80.06,91.02,70.21,77.99,45.86,1
89.14,67.53,87.41,78.58,88.57,77.51,0
65.52,81.01,100.0,81.52,11.37,11.89,1
82.0,88.31,92.54,77.22,100.0,89.24,0
59.01,80.59,72.75,76.42,95.64,98.63,0
59.68,78.94,97.44,66.91,78.77,100.0,0
97.0,71.27,72.26,82.15,86.63,89.19,0
91.55,77.82,89.72,75.81,87.68,93.55,0
90.32,84.19,73.41,83.03,77.05,100.0,0
76.1,90.33,91.88,61.52,86.28,95.05,0
86.34,90.91,97.32,82.2,41.77,75.21,0
98.47,82.82,80.18,71.59,25.26,78.07,0
16.81,11.32,11.68,20.02,14.97,8.35,1
100.0,85.24,77.02,68.13,80.1,82.04,0
86.36,75.74,83.06,87.19,91.02,77.64,0
70.22,84.01,84.58,85.69,81.41,87.76,0
75.09,91.65,98.59,68.29,79.54,94.63,0
58.11,83.69,66.14,75.97,3.84,82.03,0
82.29,67.18,70.33,89.57,99.56,87.9,0
81.4,77.34,81.24,60.06,93.95,96.44,0
89.24,74.26,89.86,76.45,98.0,100.0,0
64.11,78.4,98.43,72.99,72.86,71.59,0
70.9,63.69,95.08,57.08,30.82,78.8,0
78.38,96.77,69.24,82.73,84.17,78.96,0
66.1,73.91,91.95,50.08,93.99,77.28,0
100.0,100.0,78.31,86.5,100.0,100.0,0
99.39,92.71,97.96,97.79,97.11,95.04,0
61.47,96.14,100.0,70.01,24.89,69.08,0
100.0,81.45,58.65,93.3,63.17,78.98,0
97.73,80.44,77.1,76.36,52.53,94.67,0
92.37,74.1,80.04,86.95,65.48,73.3,0
95.62,54.48,93.32,80.82,3.33,91.2,0
86.13,85.97,85.7,98.39,51.46,100.0,0
80.68,73.01,74.35,82.6,90.13,84.29,0
56.57,98.04,88.77,62.77,48.71,99.82,0
70.28,68.89,64.98,77.01,92.33,74.59,0
68.2,100.0,78.19,58.95,76.72,94.73,0
68.13,100.0,88.52,80.67,100.0,78.69,0
70.55,98.73,100.0,74.04,82.98,69.82,0
92.68,100.0,78.8,70.1,72.34,93.6,0
52.05,86.77,79.62,68.68,84.59,79.19,0
80.88,86.37,100.0,75.51,82.95,89.74,0
76.73,64.95,85.5,87.13,90.68,73.77,0
93.74,61.84,95.2,73.19,64.86,92.25,0
88.87,89.49,74.26,86.78,89.92,100.0,0
95.67,70.27,84.89,89.57,32.06,31.5,1
97.19,94.19,69.05,100.0,9.21,83.42,0
91.05,100.0,100.0,84.26,100.0,82.21,0
68.81,96.45,78.54,73.55,100.0,61.76,0
79.21,87.29,89.14,63.18,59.48,68.44,0
75.68,70.88,81.1,76.14,97.22,82.32,0
74.03,94.69,76.77,74.1,40.03,0.0,1
94.23,94.67,93.78,94.43,99.6,97.72,0
